"primary","celllinename","tissue","gcell_gene__nrpkm_ALK","gcell_gene__nrpkm_APC","gcell_gene__nrpkm_ARID1A","gcell_gene__nrpkm_BCL6","gcell_gene__nrpkm_BRAF","gcell_gene__nrpkm_CBL","gcell_gene__nrpkm_CDKN2A","gcell_gene__nrpkm_CIC","gcell_gene__nrpkm_CSMD3","gcell_gene__nrpkm_CTNNB1","gcell_gene__nrpkm_DAXX","gcell_gene__nrpkm_DNAH5","gcell_gene__nrpkm_DNAJB1","gcell_gene__nrpkm_DNMT3A","gcell_gene__nrpkm_EGFR","gcell_gene__nrpkm_ERBB2","gcell_gene__nrpkm_FBXW7","gcell_gene__nrpkm_GLI1","gcell_gene__nrpkm_IDH1","gcell_gene__nrpkm_KMT2D","gcell_gene__nrpkm_KRAS","gcell_gene__nrpkm_LGALS7","gcell_gene__nrpkm_MET","gcell_gene__nrpkm_MUC16","gcell_gene__nrpkm_NFE2L2","gcell_gene__nrpkm_NOTCH2","gcell_gene__nrpkm_PIK3CA","gcell_gene__nrpkm_PRCC","gcell_gene__nrpkm_PTEN","gcell_gene__nrpkm_RUNX1","gcell_gene__nrpkm_TET2","gcell_gene__nrpkm_TP53","gcell_gene__nrpkm_TP63"
"CL586404","NCI-H2172","Lung",0.0096784783410078,6.67142665125772,14.6525642732501,4.06718391751251,4.31106938724739,8.69266486918872,27.1129066226313,12.1528505763512,0.0130593931115321,164.87567671792,34.1299001087464,0.0377677651823229,37.0905047905847,1.73307731912098,14.5324480906421,5.59058168300149,11.7424765357586,0.834056120059518,63.7895281936585,7.09902169381325,6.73523412348921,0,16.1816391494107,0.414449314074088,24.1984627439649,20.791069003551,5.31562056944762,29.7012154790679,5.08402093605655,1.89341403545636,2.01116299685285,1.54868468504028,3.17435919261733
"CL586735","NCI-H2795","Lung",0.014290536115064,4.40320781458208,7.62870460485614,9.75862470260721,1.04506748232592,4.12237464070284,0,9.79980874194023,0.0245414254799468,121.706914636376,33.004150271665,0.0994729363334596,61.7816200952327,5.78503823233608,25.8297310613693,14.5205208820049,3.85077496887255,19.4955951570181,55.5342526365679,4.63853423902147,23.2549828638541,0,5.63940735430684,3.62757950286141,60.1700208226627,17.0445048568127,3.61986642728883,37.8663310987576,11.0695039704218,6.12073042467372,2.35824969570306,30.5766895492566,0.0180548056856029
"CL586727","NCI-H2804","Lung",0.00545775663381158,3.81617310851934,15.0351937672663,2.30684572672184,1.57473334374945,11.6625251798552,5.84316639610184,8.67180550862725,2.16777517279144,67.3236073430201,41.0385574598326,0.367237756508539,52.3220224438133,8.82246283601591,36.1987586903164,7.7606494799549,4.31375543873077,1.99579036296943,112.864759101215,11.8561724770801,9.24494232093622,0,53.3585830437845,0.0599679355714597,34.0913359760419,19.7200649733973,3.57841087869664,60.9331498657743,8.19003886894584,5.05330995627707,1.04598846400828,1.73116977955851,0.0772283019156817
"CL586135","NCI-H889","Lung",0.00343822668441914,3.46346547582216,27.3817441188522,0.610418978322579,6.20822430804933,4.30243510999545,53.0211038929363,24.0512667004637,0.195693190842521,26.7010465265637,35.0141774089328,1.29671488872688,430.688054096877,9.27195518616218,0.0300120510682223,1.52955855620524,8.43157724831421,0.0313538509177879,6.15234927336716,10.5522902177299,7.4621031602215,0,3.1560057915781,0,15.0283249318437,1.50095257575612,3.2717186559631,32.2083438961498,3.57697457592243,0.201030199637276,1.36979204721843,14.0023479673451,0
"CL586372","NCI-H1417","Lung",0.109492432902802,4.23166264383292,24.1991486258036,0.616550216944371,5.64870578342065,8.33269489014511,0.130703216434043,8.76723990613117,0.443605705258453,34.138867750702,38.1071350321871,0.178164962988892,26.9861403964837,12.446930242112,0.0345891248185088,3.8290145422097,6.39082396277174,0.0114112293772753,8.54839323925285,10.5574562268988,13.7825897342436,0,13.0870781904596,0,12.977219760588,1.40546817668001,5.21630097214862,40.0672603778132,2.74263911121485,0.285643831601769,3.48318960358463,2.90010530564839,0.0727240708696728
"CL132334","NCI-H1793","Lung",0,5.31752982245771,5.35334114580316,6.27792673345387,4.43849826890878,6.6383927581053,0.071890485270133,10.943533123057,0,204.102846864429,21.0251009441566,0.747671623673461,92.1090822282779,0.776892336849806,16.8521466047081,10.9010501966103,2.36684516341206,1.67896391273269,180.305730364927,3.61433866434022,12.0907647106475,0,23.0215549058924,0.0194242624267799,59.1063229215219,10.487324194281,5.14169162779598,26.7390256415472,5.9964047287557,5.95372657171812,1.36743579577086,14.8793134833949,6.13917750844651
"CL586013","NCI-H187","Lung",0.212813139539415,10.1856773122735,63.16975102345,2.69600685679237,7.636541229599,8.53322998870692,26.2020971473265,29.8286281554374,0.0979738627251109,44.8322632623625,30.2811752451401,0.436698915773614,22.7277849695781,19.9837283093452,0.261444458660415,2.09896778854735,3.46995609170351,0.014375436898378,8.12949677303657,25.0498802202995,12.6928453611539,0,15.1175810961272,0.00237272137230851,9.73244468869573,0.260867287079288,3.18799014063737,77.9435596767253,8.41694278389222,29.8396405923368,3.09390555231875,20.3332852085856,0.0106220341914758
"CL586132","NCI-H209","Lung",0.00509787609584009,3.83669885586295,14.5689957940611,1.04207751369084,6.60886704249269,5.80448184846895,21.3735600741512,7.61702591397851,0.00875468528995081,41.8694183961306,53.6963626755836,0.105379911069609,35.646237417294,5.14046563120951,0.268477420198704,4.32797797795438,8.47497188237659,0,19.7686087898972,7.6576260304179,6.79362328173411,0,6.38080664908013,0,22.7982706440015,2.67098229265195,2.59188007140634,28.8609171418918,6.75799094716657,5.8633747553517,2.78888038442829,1.74214406132947,0.0824410552694323
"CL130849","NCI-H2171","Lung",0.0109783540057096,4.3287955052708,43.9318425187478,0.670556723891595,7.45918286797818,2.77689136235352,19.4593932849241,13.5391391267439,0,73.1249943475997,44.6042126805325,0.0717862721389787,48.4160435134605,18.2236368901985,0.103815095371869,1.69403097624303,2.5689406511947,0.225255877353739,27.4233233163242,14.1819886788503,7.36466272622581,0,9.88508744845807,0,22.3750260639779,0.0315301550748778,3.70451383829611,46.5713250736366,2.24778210569517,0.455042040509006,2.08560452972452,5.19231671607432,0.13870161813727
"CL129544","NCI-H226","Lung",0.0151856470454952,3.51157375506065,17.8937691080377,8.87962802498141,3.02870994753148,9.42773502891236,0.0634458931042389,16.6478764661626,1.43804947973759,106.405532342497,43.0661320753494,0.142539683067688,72.309625185237,4.03451849195513,68.5814883952544,11.8665387003077,4.45915068827155,0.166177005970754,43.3531785378507,13.3896045036105,7.6600120042489,0,112.022332011816,0.619990621905066,36.0115462117233,32.4423059085522,1.88888289876328,38.8584205676828,7.4110735164559,12.9139621265372,1.24979705071311,66.5177423575423,0.0345342559534624
